DateName,Date,Name,Session Type,Time,TD,Max Speed,MPM,HSD,Sprint Distance,Session RPE
43101Athlete 31,1/1/2018,Athlete 31,Technical,59,791,8,13,15,0,9
43101Athlete 17,1/1/2018,Athlete 17,Technical,52,2976,8,57,632,0,8
43101Athlete 08,1/1/2018,Athlete 08,Technical,86,3068,9,36,833,23,6
43101Athlete 03,1/1/2018,Athlete 03,Technical,52,3084,8,59,834,0,3
43101Athlete 33,1/1/2018,Athlete 33,Technical,75,3447,8,46,881,461,5
43101Athlete 12,1/1/2018,Athlete 12,Technical,72,3886,6,54,676,317,3
43101Athlete 09,1/1/2018,Athlete 09,Technical,70,4138,9,59,764,213,2
43101Athlete 16,1/1/2018,Athlete 16,Technical,100,4178,6,42,865,368,7
43101Athlete 06,1/1/2018,Athlete 06,Technical,74,4223,9,57,884,249,9
43101Athlete 19,1/1/2018,Athlete 19,Technical,73,4297,9,59,1091,322,7
43101Athlete 21,1/1/2018,Athlete 21,Technical,58,4467,6,77,655,235,7
43101Athlete 14,1/1/2018,Athlete 14,Technical,91,4476,8,49,864,367,6
43101Athlete 36,1/1/2018,Athlete 36,Technical,46,4535,9,99,488,175,6
43101Athlete 26,1/1/2018,Athlete 26,Technical,52,4569,7,88,979,286,8
43101Athlete 38,1/1/2018,Athlete 38,Technical,69,4572,6,66,311,83,3
43101Athlete 05,1/1/2018,Athlete 05,Technical,54,4640,8,86,1008,449,4
43101Athlete 30,1/1/2018,Athlete 30,Technical,67,4789,7,71,439,130,4
43101Athlete 40,1/1/2018,Athlete 40,Technical,95,4989,8,53,457,64,6
43101Athlete 01,1/1/2018,Athlete 01,Technical,58,5035,7,87,1493,703,2
43101Athlete 13,1/1/2018,Athlete 13,Technical,47,5050,9,107,754,269,4
43101Athlete 25,1/1/2018,Athlete 25,Technical,86,5086,9,59,1294,630,6
43101Athlete 24,1/1/2018,Athlete 24,Technical,63,5101,8,81,1009,331,5
43101Athlete 07,1/1/2018,Athlete 07,Technical,84,5134,8,61,1340,635,7
43101Athlete 10,1/1/2018,Athlete 10,Technical,55,5185,9,94,1200,659,2
43101Athlete 22,1/1/2018,Athlete 22,Technical,55,5273,6,96,1015,296,5
43101Athlete 23,1/1/2018,Athlete 23,Technical,88,5302,7,60,1636,678,8
43101Athlete 34,1/1/2018,Athlete 34,Technical,85,5331,7,63,1665,1198,7
43101Athlete 02,1/1/2018,Athlete 02,Technical,71,5398,7,76,1375,479,2
43101Athlete 20,1/1/2018,Athlete 20,Technical,94,5417,7,58,1423,620,3
43101Athlete 15,1/1/2018,Athlete 15,Technical,56,5442,9,97,1375,448,8
43101Athlete 35,1/1/2018,Athlete 35,Technical,90,5472,6,61,1859,1278,6
43101Athlete 18,1/1/2018,Athlete 18,Technical,50,5540,9,111,1613,665,6
43101Athlete 27,1/1/2018,Athlete 27,Technical,72,5543,8,77,1720,1169,6
43101Athlete 11,1/1/2018,Athlete 11,Technical,70,5575,9,80,1475,709,9
43101Athlete 37,1/1/2018,Athlete 37,Technical,63,5692,9,90,1872,1290,8
43101Athlete 04,1/1/2018,Athlete 04,Technical,72,5888,6,82,1795,819,8
43101Athlete 29,1/1/2018,Athlete 29,Technical,92,5950,9,65,1918,1273,4
